##########################
# CHINESE ESTATE BUILDINGS
##########################

# BUILDING VALUES

@east_asian_estate_main_construction_time = 730
@east_asian_manor_monthly_piety_add_3 = 0.5
@east_asian_manor_monthly_piety_mult_1 = 0.025
@east_asian_manor_stress_loss_mult_1 = 0.025
@east_asian_manor_stress_gain_mult_1 = -0.025
@east_asian_manor_opinion_add_1 = 2
@east_asian_manor_maa_recruitment_cost_mult_1 = -0.04
@east_asian_manor_maa_maintenance_mult_1 = -0.025
@east_asian_manor_maa_effectiveness_mult_1 = 0.025
@east_asian_manor_control_growth_factor_1 = 0.05
@east_asian_manor_advantage_add_1 = 1
@east_asian_manor_mercenary_hire_cost_mult_1 = -0.025
@east_asian_manor_supply_capacity_mult_1 = 0.025
@east_asian_manor_knight_effectiveness_mult_1 = 0.01
@east_asian_manor_lifestyle_xp_gain_mult = 0.05
@east_asian_manor_owned_scheme_potential_add = 2
@east_asian_manor_owned_scheme_success_chance_add = 2
@east_asian_manor_owned_scheme_success_chance_max_add = 2
@east_asian_manor_owned_scheme_success_growth_add = 2
@east_asian_manor_owned_scheme_phase_duration_add = -5
@east_asian_manor_enemy_scheme_success_chance_add = -2
@east_asian_manor_enemy_scheme_success_chance_max_add = -2
@east_asian_manor_enemy_scheme_success_growth_add = -2
@east_asian_manor_enemy_scheme_phase_duration_add = -5
@east_asian_manor_pursue_efficiency_1 = 0.025
@east_asian_manor_movement_speed_1 = 0.025
@east_asian_manor_influence_level_impact_mult_1 = 0.025
@east_asian_manor_character_travel_speed_mult = 0.025
@east_asian_manor_hostile_raid_time_1 = 0.1
@east_asian_manor_development_growth_factor_1 = 0.015
@east_asian_manor_development_growth_factor_2 = 0.025
@east_asian_manor_development_growth_factor_3 = 0.035
@east_asian_manor_development_growth_1 = 0.05
@east_asian_manor_development_growth_2 = 0.1
@east_asian_manor_development_growth_3 = 0.15
@east_asian_manor_county_control_growth_add_1 = 0.1
@east_asian_manor_prestige_gain_per_dread_mult_1 = 0.05
@east_asian_manor_dread_decay_mult_1 = -0.025
@east_asian_manor_dread_baseline_add_1 = 2
@east_asian_manor_health_add_1 = 0.05
@east_asian_manor_epidemic_resistance_1 = 2
@east_asian_manor_dread_gain_mult_1 = 0.025
@east_asian_manor_domicile_build_speed = -0.05
@east_asian_manor_domicile_build_speed_minor = -0.03
@east_asian_manor_domicile_build_gold_cost_minor = -0.03
@east_asian_manor_domicile_build_gold_cost = -0.05
@east_asian_manor_holding_build_gold_cost_minor = -0.03
@east_asian_manor_holding_build_gold_cost = -0.05
@east_asian_manor_faith_creation_piety_cost_mult = -0.05
@east_asian_manor_character_travel_safety = 2

### NOTE: If updating, adding, or changing buildings, ensure the following effects are updated too:
### destroy_random_east_asian_estate_building_variable_effect
### destroy_random_east_asian_estate_building_effect
### add_random_external_east_asian_estate_building
### add_random_internal_east_asian_estate_building

### Chinese Estate Main Building - The Villa
east_asian_estate_main_01 = {
	slot_type = main
	internal_slots = 3
	construction_time = @east_asian_estate_main_construction_time
	allowed_domicile_types = { east_asian_estate }

	cost = {
		gold = estate_external_building_high_cost_tier_2_value
	}

	character_modifier = {
		domicile_monthly_gold_add = 0.25
		domicile_monthly_influence_add = 1
		domicile_external_slots_capacity_add = 3
	}

	ai_value = {
		value = 100
	}

	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_building_manor_01.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_chinese_mask.png"
		soundeffect = "event:/DLC/EP4/SFX/UI/domicile_buildings/tgp_ui_domicile_building_chinese_main_building"
	}
}

east_asian_estate_main_02 = {
	slot_type = main
	internal_slots = 6
	construction_time = @east_asian_estate_main_construction_time
	allowed_domicile_types = { east_asian_estate }
	previous_building = east_asian_estate_main_01
	
	can_construct = {
		culture ?= { has_innovation = innovation_city_planning }
	}

	cost = {
		gold = estate_external_building_high_cost_tier_3_value
	}
	
	parameters = {
		estate_increase_house_member_investment_cap_1 = yes
	}

	character_modifier = {
		domicile_monthly_gold_add = 0.25
		domicile_monthly_influence_add = 0.5
		domicile_external_slots_capacity_add = 1
	}

	ai_value = {
		value = 7
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_building_manor_02.dds"
		texture = "gfx/interface/window_domiciles/estate_building_manor_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_manor_chinese_mask.png"
		soundeffect = "event:/DLC/EP4/SFX/UI/domicile_buildings/tgp_ui_domicile_building_chinese_main_building"
	}
}

east_asian_estate_main_03 = {
	slot_type = main
	internal_slots = 9
	construction_time = @east_asian_estate_main_construction_time
	allowed_domicile_types = { east_asian_estate }
	previous_building = east_asian_estate_main_02
	
	can_construct = {
		culture ?= { has_innovation = innovation_manorialism }
	}

	cost = {
		gold = estate_external_building_high_cost_tier_4_value
	}
	
	parameters = {
		estate_increase_house_member_investment_cap_2 = yes
	}

	character_modifier = {
		domicile_monthly_gold_add = 0.5
		domicile_monthly_gold_mult = 0.02
		domicile_monthly_influence_add = 0.5
		domicile_external_slots_capacity_add = 1
	}

	ai_value = {
		value = 6
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_building_manor_03.dds"
		texture = "gfx/interface/window_domiciles/estate_building_mansion_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_mansion_chinese_mask.png"
		soundeffect = "event:/DLC/EP4/SFX/UI/domicile_buildings/tgp_ui_domicile_building_chinese_main_building"
	}
}

east_asian_estate_main_04 = {
	slot_type = main
	internal_slots = 12
	construction_time = @east_asian_estate_main_construction_time
	allowed_domicile_types = { east_asian_estate }
	previous_building = east_asian_estate_main_03
	
	can_construct = {
		culture ?= { has_innovation = innovation_development_03 }
	}

	cost = {
		gold = estate_external_building_high_cost_tier_5_value
	}
	
	parameters = {
		estate_increase_house_member_investment_cap_3 = yes
	}

	character_modifier = {
		domicile_monthly_gold_add = 0.5
		domicile_monthly_gold_mult = 0.03
		domicile_monthly_influence_add = 0.5
		domicile_external_slots_capacity_add = 1
	}

	ai_value = {
		value = 5
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_building_manor_04.dds"
		texture = "gfx/interface/window_domiciles/estate_building_estate_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_estate_chinese_mask.png"
		soundeffect = "event:/DLC/EP4/SFX/UI/domicile_buildings/tgp_ui_domicile_building_chinese_main_building"
	}
}

east_asian_estate_main_05 = {
	slot_type = main
	internal_slots = 15
	construction_time = @east_asian_estate_main_construction_time
	allowed_domicile_types = { east_asian_estate }
	previous_building = east_asian_estate_main_04
	
	can_construct = {
		culture ?= { has_innovation = innovation_cranes }
	}

	cost = {
		gold = estate_external_building_high_cost_tier_6_value
	}
	
	parameters = {
		estate_increase_house_member_investment_cap_4 = yes
	}

	character_modifier = {
		domicile_monthly_gold_add = 0.75
		domicile_monthly_gold_mult = 0.05
		domicile_monthly_influence_add = 0.5
	}

	ai_value = {
		value = 4
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_building_manor_05.dds"
		texture = "gfx/interface/window_domiciles/estate_building_grand_estate_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_grand_estate_chinese_mask.png"
		soundeffect = "event:/DLC/EP4/SFX/UI/domicile_buildings/tgp_ui_domicile_building_chinese_main_building"
	}
}

####################
##### VILLA UPGRADES


### Education
east_asian_estate_library_01 = {
	construction_time = @east_asian_estate_upgrade_construction_time_1
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_main_01

	cost = {
		gold = {
			value = estate_internal_building_normal_cost_tier_1_value
			if = {
				limit = { has_character_modifier = raid_insight_library }
				multiply = 0.75
				desc = raid_insight_library
			}
		}
	}
	
	parameters = {
		estate_increased_tutor_aptitude_1 = yes
	}

	character_modifier = {
		monthly_lifestyle_xp_gain_mult = 0.01
		study_confucian_classics_scheme_phase_duration_add = -3
		confucian_education_xp_gain_mult = @east_asian_manor_confucian_education_xp_gain_mult_2
	}
	
	ai_value = {
		value = 7
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/east_asian_estate_study.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine_mask.png"
	}
}
east_asian_estate_library_02 = {
	construction_time = @east_asian_estate_upgrade_construction_time_2
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_library_01

	cost = {
		gold = {
			value = estate_internal_building_normal_cost_tier_2_value
			if = {
				limit = { has_character_modifier = raid_insight_library }
				multiply = 0.75
				desc = raid_insight_library
			}
		}
	}
	
	parameters = {
		estate_increased_tutor_aptitude_2 = yes
		estate_reduced_tutor_cost_low = yes
	}

	character_modifier = {
		monthly_lifestyle_xp_gain_mult = 0.01
		study_confucian_classics_scheme_phase_duration_add = -3
		confucian_education_xp_gain_mult = @east_asian_manor_confucian_education_xp_gain_mult_2
	}
	
	ai_value = {
		value = 6
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/east_asian_estate_study.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine_mask.png"
	}
}
east_asian_estate_library_education_03 = {
	construction_time = @east_asian_estate_upgrade_construction_time_3
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_library_02

	can_construct = {
		domicile ?= { has_domicile_building_or_higher = east_asian_estate_main_02 }
	}

	cost = {
		gold = {
			value = estate_internal_building_high_cost_tier_3_value
			if = {
				limit = { has_character_modifier = raid_insight_library }
				multiply = 0.75
				desc = raid_insight_library
			}
		}
	}
	
	parameters = {
		estate_increased_tutor_aptitude_3 = yes
		estate_reduced_tutor_cost = yes
	}

	character_modifier = {
		monthly_lifestyle_xp_gain_mult = 0.01
		study_confucian_classics_scheme_phase_duration_add = -3
		confucian_education_xp_gain_mult = @east_asian_manor_confucian_education_xp_gain_mult_2
	}
	
	ai_value = {
		value = 5
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/east_asian_estate_study.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine_mask.png"
	}
}
east_asian_estate_library_education_04 = {
	construction_time = @east_asian_estate_upgrade_construction_time_4
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_library_education_03

	can_construct = {
		domicile ?= { has_domicile_building_or_higher = east_asian_estate_main_03 }
	}

	cost = {
		gold = {
			value = estate_internal_building_high_cost_tier_4_value
			if = {
				limit = { has_character_modifier = raid_insight_library }
				multiply = 0.75
				desc = raid_insight_library
			}
		}
	}
	
	parameters = {
		estate_increased_tutor_aptitude_4 = yes
		estate_reduced_tutor_cost_high = yes
		estate_unlock_tier_5_education = yes
	}

	character_modifier = {
		monthly_lifestyle_xp_gain_mult = 0.02
		study_confucian_classics_scheme_phase_duration_add = -3
		confucian_education_xp_gain_mult = @east_asian_manor_confucian_education_xp_gain_mult_2
	}
	
	ai_value = {
		value = 4
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/east_asian_estate_study.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine_mask.png"
	}
}

### Taxation office
east_asian_estate_taxation_01 = {
	construction_time = @east_asian_estate_upgrade_construction_time_1
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_main_01

	cost = {
		gold = {
			value = estate_internal_building_normal_cost_tier_1_value
		}
	}
	
	parameters = {
	}

	character_modifier = {
		domicile_monthly_gold_add = 0.15
		domain_tax_mult = 0.02
	}
	
	ai_value = {
		value = 7
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_building_bartering_grounds.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_chinese_mask.png"
	}
}
east_asian_estate_taxation_02 = {
	construction_time = @east_asian_estate_upgrade_construction_time_2
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_taxation_01

	cost = {
		gold = {
			value = estate_internal_building_normal_cost_tier_2_value
		}
	}
	
	parameters = {
	}

	character_modifier = {
		domicile_monthly_gold_add = 0.15
		domain_tax_mult = 0.02
	}
	
	ai_value = {
		value = 6
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_building_bartering_grounds.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_chinese_mask.png"
	}
}
east_asian_estate_taxation_03 = {
	construction_time = @east_asian_estate_upgrade_construction_time_3
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_taxation_02

	can_construct = {
		domicile ?= { has_domicile_building_or_higher = east_asian_estate_main_02 }
	}

	cost = {
		gold = {
			value = estate_internal_building_normal_cost_tier_3_value
		}
	}
	
	parameters = {
	}

	character_modifier = {
		domicile_monthly_gold_add = 0.15
		domain_tax_mult = 0.02
	}
	
	ai_value = {
		value = 5
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_building_bartering_grounds.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_chinese_mask.png"
	}
}
east_asian_estate_taxation_04 = {
	construction_time = @east_asian_estate_upgrade_construction_time_4
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_taxation_03

	can_construct = {
		domicile ?= { has_domicile_building_or_higher = east_asian_estate_main_03 }
	}

	cost = {
		gold = {
			value = estate_internal_building_normal_cost_tier_4_value
		}
	}
	
	parameters = {
	}

	character_modifier = {
		domicile_monthly_gold_add = 0.15
		domain_tax_mult = 0.02
	}
	
	ai_value = {
		value = 4
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_building_bartering_grounds.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_chinese_mask.png"
	}
}

### Yamen Office
east_asian_peasant_quarters_01 = {
	construction_time = @east_asian_estate_upgrade_construction_time_1 
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_main_01

	can_construct_potential = {
	}

	can_construct = {

	}

	cost = {
		gold = estate_internal_building_high_cost_tier_2_value
	}

	character_modifier = {
		county_opinion_add = 5
		minority_opinion = 5
	}
	
	parameters = {
	}

	ai_value = {
		value = 1
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_astrologer_yurt.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_chinese_mask.png"
	}
}
east_asian_peasant_quarters_02 = {
	construction_time = @east_asian_estate_upgrade_construction_time_2 
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_peasant_quarters_01

	can_construct = {
		
	}

	cost = {
		gold = estate_internal_building_high_cost_tier_2_value
		influence = major_influence_value
	}

	character_modifier = {
		levy_reinforcement_rate = 0.1
	}
	
	parameters = {
		can_use_incite_revolts = yes
	}

	ai_value = {
		value = 1
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_astrologer_yurt.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_chinese_mask.png"
	}
}
east_asian_peasant_quarters_03 = {
	construction_time = @east_asian_estate_upgrade_construction_time_3
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_peasant_quarters_02

	can_construct = {
		
	}

	cost = {
		gold = estate_internal_building_high_cost_tier_3_value
		influence = major_influence_value
	}

	character_modifier = {
		trait_track_peasant_leader_xp_gain_mult = 1
		barons_and_minor_landholders_opinion = -5
	}
	
	parameters = {
		can_use_incite_revolts = yes
		can_join_peasant_factions = yes
	}

	ai_value = {
		value = 1
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_astrologer_yurt.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_chinese_mask.png"
	}
}
east_asian_peasant_quarters_04 = {
	construction_time = @east_asian_estate_upgrade_construction_time_3
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_peasant_quarters_03

	can_construct = {
		
	}

	cost = {
		gold = estate_internal_building_high_cost_tier_4_value
		influence = massive_influence_value
	}

	character_modifier = {
		barons_and_minor_landholders_opinion = -5
		county_opinion_add = 5
		monthly_county_control_growth_factor = 0.1
	}
	
	parameters = {
		can_use_incite_revolts = yes
		can_join_peasant_factions = yes
	}

	ai_value = {
		value = 1
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/domicile_astrologer_yurt.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_chinese.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_chinese_mask.png"
	}
}


### Minister's Office
east_asian_estate_minister_office_01 = {
	construction_time = @east_asian_estate_upgrade_construction_time_1
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_main_01
	
	can_construct_potential = {
		top_liege = {
			tgp_has_access_to_ministry_trigger = yes
		}
	}
	
	can_construct = {
		custom_tooltip = {
			text = you_are_not_a_minister_desc
			tgp_is_any_minister = yes
		}
	}

	cost = {
		gold = {
			value = estate_internal_building_normal_cost_tier_1_value
		}
	}
	
	parameters = {
		celestial_minister_score_bonus_1 = yes
		estate_minister_bureaucrat_aptitude_1 = yes
	}
	
	character_modifier = {
		monthly_merit_mult = @east_asian_manor_monthly_merit_mult_3
		monthly_dynasty_prestige = 0.3
		domicile_monthly_prestige_mult = 0.1
	}
	
	ai_value = {
		value = 7
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/east_asian_minister_office.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine_mask.png"
	}
}
east_asian_estate_minister_office_02 = {
	construction_time = @east_asian_estate_upgrade_construction_time_2
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_minister_office_01

	can_construct = {
	}

	cost = {
		gold = {
			value = estate_internal_building_normal_cost_tier_2_value
		}
	}
	
	parameters = {
		celestial_minister_score_bonus_2 = yes
		estate_minister_bureaucrat_aptitude_2 = yes
	}
	
	character_modifier = {
		monthly_merit_mult = @east_asian_manor_monthly_merit_mult_3
		monthly_dynasty_prestige = 0.3
		domicile_monthly_prestige_mult = 0.1
	}
	
	ai_value = {
		value = 6
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/east_asian_minister_office.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine_mask.png"
	}
}
east_asian_estate_minister_office_03 = {
	construction_time = @east_asian_estate_upgrade_construction_time_3
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_minister_office_02

	can_construct = {
		domicile ?= { has_domicile_building_or_higher = east_asian_estate_main_02 }
	}

	cost = {
		gold = {
			value = estate_internal_building_normal_cost_tier_3_value
		}
	}
	
	parameters = {
		celestial_minister_score_bonus_3 = yes
		estate_minister_bureaucrat_aptitude_3 = yes
	}
	
	character_modifier = {
		monthly_merit_mult = @east_asian_manor_monthly_merit_mult_3
		monthly_dynasty_prestige = 0.3
		domicile_monthly_prestige_mult = 0.1
	}
	
	ai_value = {
		value = 5
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/east_asian_minister_office.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine_mask.png"
	}
}
east_asian_estate_minister_office_04 = {
	construction_time = @east_asian_estate_upgrade_construction_time_4
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_minister_office_03

	can_construct = {
		domicile ?= { has_domicile_building_or_higher = east_asian_estate_main_03 }
	}

	cost = {
		gold = {
			value = estate_internal_building_normal_cost_tier_4_value
		}
	}
	
	parameters = {
		celestial_minister_score_bonus_4 = yes
		estate_minister_bureaucrat_aptitude_4 = yes
		estate_minister_effect_increase = yes
	}
	
	character_modifier = {
		monthly_merit_mult = 0.04
		monthly_dynasty_prestige = 0.3
		domicile_monthly_prestige_mult = 0.1
	}
	
	ai_value = {
		value = 4
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/east_asian_minister_office.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine_mask.png"
	}
}

### Pavilion (for movement leaders)
east_asian_estate_movement_study_01 = {
	construction_time = @east_asian_estate_upgrade_construction_time_1
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_main_01
	
	can_construct_potential = {
		any_character_situation = { situation_type = dynastic_cycle }
	}
	
	can_construct = {
		is_any_movement_leader = yes
	}

	cost = {
		gold = {
			value = estate_internal_building_normal_cost_tier_1_value
		}
	}
	
	parameters = {
		celestial_bonus_movement_power_1 = yes
		celestial_invite_to_movement_acceptance_1 = yes
	}
	
	character_modifier = {
		monthly_merit_mult = @east_asian_manor_monthly_merit_mult_2
	}
	
	ai_value = {
		value = 7
		add = estate_building_ai_modifier_value
	}
	
	asset = {
		icon = "gfx/interface/icons/domicile_building/east_asian_estate_movement_study.dds"
		texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine.dds"
		intersectionmask_texture = "gfx/interface/window_domiciles/estate_building_villa_byzantine_mask.png"
	}
}
east_asian_estate_movement_study_02 = {
	construction_time = @east_asian_estate_upgrade_construction_time_2
	allowed_domicile_types = { east_asian_estate }
	slot_type = internal
	previous_building = east_asian_estate_movement_study_01

	can_construct = {
	}

	cost = {
		gold = {
			value = estate_internal_building_normal_cost_tier_2_value
		}
	}
	
	parameters = {
		celestial_bonus_movement_power_2 = yes
		celestial_invite_to_movement_acceptance_2 = yes
	}
	
